book,chapter,verse,text
John,5,8,"Jesus saith unto him, Rise, take up thy bed, and walk."
John,5,14,"Afterward Jesus findeth him in the temple, and said unto him, Behold, thou art made whole: sin no more, lest a worse thing come unto thee."
John,5,17,"But Jesus answered them, My Father worketh hitherto, and I work."
John,5,19,"Then answered Jesus and said unto them, Verily, verily, I say unto you, The Son can do nothing of himself, but what he seeth the Father do: for what things soever he doeth, these also doeth the Son likewise."
John,5,20,"For the Father loveth the Son, and sheweth him all things that himself doeth: and he will shew him greater works than these, that ye may marvel."
John,5,21,"For as the Father raiseth up the dead, and quickeneth them; even so the Son quickeneth whom he will."
John,5,22,"For the Father judgeth no man, but hath committed all judgment unto the Son:"
John,5,23,"That all men should honour the Son, even as they honour the Father. He that honoureth not the Son honoureth not the Father which hath sent him."
John,5,24,"Verily, verily, I say unto you, He that heareth my word, and believeth on him that sent me, hath everlasting life, and shall not come into condemnation; but is passed from death unto life."
John,5,25,"Verily, verily, I say unto you, The hour is coming, and now is, when the dead shall hear the voice of the Son of God: and they that hear shall live."
John,5,26,For as the Father hath life in himself; so hath he given to the Son to have life in himself;
John,5,27,"And hath given him authority to execute judgment also, because he is the Son of man."
John,5,28,"Marvel not at this: for the hour is coming, in the which all that are in the graves shall hear his voice,"
John,5,29,"And shall come forth; they that have done good, unto the resurrection of life; and they that have done evil, unto the resurrection of damnation."
John,5,30,"I can of mine own self do nothing: as I hear, I judge: and my judgment is just; because I seek not mine own will, but the will of the Father which hath sent me."
John,5,31,"If I bear witness of myself, my witness is not true."
John,5,32,There is another that beareth witness of me; and I know that the witness which he witnesseth of me is true.
John,5,33,"Ye sent unto John, and he bare witness unto the truth."
John,5,34,"But I receive not testimony from man: but these things I say, that ye might be saved."
John,5,35,He was a burning and a shining light: and ye were willing for a season to rejoice in his light.
John,5,36,"But I have greater witness than that of John: for the works which the Father hath given me to finish, the same works that I do, bear witness of me, that the Father hath sent me."
John,5,37,"And the Father himself, which hath sent me, hath borne witness of me. Ye have neither heard his voice at any time, nor seen his shape."
John,5,38,"And ye have not his word abiding in you: for whom he hath sent, him ye believe not."
John,5,39,Search the scriptures; for in them ye think ye have eternal life: and they are they which testify of me.
John,5,40,"And ye will not come to me, that ye might have life."
John,5,41,I receive not honour from men.
John,5,42,"But I know you, that ye have not the love of God in you."
John,5,43,"I am come in my Father's name, and ye receive me not: if another shall come in his own name, him ye will receive."
John,5,44,"How can ye believe, which receive honour one of another, and seek not the honour that cometh from God only?"
John,5,45,"Do not think that I will accuse you to the Father: there is one that accuseth you, even Moses, in whom ye trust."
John,5,46,"For had ye believed Moses, ye would have believed me; for he wrote of me."
John,5,47,"But if ye believe not his writings, how shall ye believe my words?"
John,6,5,"When Jesus then lifted up his eyes, and saw a great company come unto him, he saith unto Philip, Whence shall we buy bread, that these may eat?"
John,6,10,"And Jesus said, Make the men sit down. Now there was much grass in the place. So the men sat down, in number about five thousand."
John,6,12,"When they were filled, he said unto his disciples, Gather up the fragments that remain, that nothing be lost."
John,6,20,"But he saith unto them, It is I; be not afraid."
John,6,26,"Jesus answered them and said, Verily, verily, I say unto you, Ye seek me, not because ye saw the miracles, but because ye did eat of the loaves, and were filled."
John,6,27,"Labour not for the meat which perisheth, but for that meat which endureth unto everlasting life, which the Son of man shall give unto you: for him hath God the Father sealed."
John,6,29,"Jesus answered and said unto them, This is the work of God, that ye believe on him whom he hath sent."
John,6,32,"Then Jesus said unto them, Verily, verily, I say unto you, Moses gave you not that bread from heaven; but my Father giveth you the true bread from heaven."
John,6,33,"For the bread of God is he which cometh down from heaven, and giveth life unto the world."
John,6,35,"And Jesus said unto them, I am the bread of life: he that cometh to me shall never hunger; and he that believeth on me shall never thirst."
John,6,36,"But I said unto you, That ye also have seen me, and believe not."
John,6,37,All that the Father giveth me shall come to me; and him that cometh to me I will in no wise cast out.
John,6,38,"For I came down from heaven, not to do mine own will, but the will of him that sent me."
John,6,39,"And this is the Father's will which hath sent me, that of all which he hath given me I should lose nothing, but should raise it up again at the last day."
John,6,40,"And this is the will of him that sent me, that every one which seeth the Son, and believeth on him, may have everlasting life: and I will raise him up at the last day."
John,6,43,"Jesus therefore answered and said unto them, Murmur not among yourselves."
John,6,44,"No man can come to me, except the Father which hath sent me draw him: and I will raise him up at the last day."
John,6,45,"It is written in the prophets, And they shall be all taught of God. Every man therefore that hath heard, and hath learned of the Father, cometh unto me."
John,6,46,"Not that any man hath seen the Father, save he which is of God, he hath seen the Father."
John,6,47,"Verily, verily, I say unto you, He that believeth on me hath everlasting life."
John,6,48,I am that bread of life.
John,6,49,"Your fathers did eat manna in the wilderness, and are dead."
John,6,50,"This is the bread which cometh down from heaven, that a man may eat thereof, and not die."
John,6,51,"I am the living bread which came down from heaven: if any man eat of this bread, he shall live for ever: and the bread that I will give is my flesh, which I will give for the life of the world."
John,6,53,"Then Jesus said unto them, Verily, verily, I say unto you, Except ye eat the flesh of the Son of man, and drink his blood, ye have no life in you."
John,6,54,"Whoso eateth my flesh, and drinketh my blood, hath eternal life; and I will raise him up at the last day."
John,6,55,"For my flesh is meat indeed, and my blood is drink indeed."
John,6,56,"He that eateth my flesh, and drinketh my blood, dwelleth in me, and I in him."
John,6,57,"As the living Father hath sent me, and I live by the Father: so he that eateth me, even he shall live by me."
John,6,58,"This is that bread which came down from heaven: not as your fathers did eat manna, and are dead: he that eateth of this bread shall live for ever."
John,6,61,"When Jesus knew in himself that his disciples murmured at it, he said unto them, Doth this offend you?"
John,6,62,What and if ye shall see the Son of man ascend up where he was before?
John,6,63,"It is the spirit that quickeneth; the flesh profiteth nothing: the words that I speak unto you, they are spirit, and they are life."
John,6,64,"But there are some of you that believe not. For Jesus knew from the beginning who they were that believed not, and who should betray him."
John,6,65,"And he said, Therefore said I unto you, that no man can come unto me, except it were given unto him of my Father."
John,6,67,"Then said Jesus unto the twelve, Will ye also go away?"
John,6,70,"Jesus answered them, Have not I chosen you twelve, and one of you is a devil?"
John,7,6,"Then Jesus said unto them, My time is not yet come: but your time is alway ready."
John,7,7,"The world cannot hate you; but me it hateth, because I testify of it, that the works thereof are evil."
John,7,8,Go ye up unto this feast: I go not up yet unto this feast: for my time is not yet full come.
John,7,16,"Jesus answered them, and said, My doctrine is not mine, but his that sent me."
John,7,17,"If any man will do his will, he shall know of the doctrine, whether it be of God, or whether I speak of myself."
John,7,18,"He that speaketh of himself seeketh his own glory: but he that seeketh his glory that sent him, the same is true, and no unrighteousness is in him."
John,7,19,"Did not Moses give you the law, and yet none of you keepeth the law? Why go ye about to kill me?"
John,7,21,"Jesus answered and said unto them, I have done one work, and ye all marvel."
John,7,22,"Moses therefore gave unto you circumcision; (not because it is of Moses, but of the fathers;) and ye on the sabbath day circumcise a man."
John,7,23,"If a man on the sabbath day receive circumcision, that the law of Moses should not be broken; are ye angry at me, because I have made a man every whit whole on the sabbath day?"
John,7,24,"Judge not according to the appearance, but judge righteous judgment."
John,7,28,"Then cried Jesus in the temple as he taught, saying, Ye both know me, and ye know whence I am: and I am not come of myself, but he that sent me is true, whom ye know not."
John,7,29,"But I know him: for I am from him, and he hath sent me."
John,7,33,"Then said Jesus unto them, Yet a little while am I with you, and then I go unto him that sent me."
John,7,34,"Ye shall seek me, and shall not find me: and where I am, thither ye cannot come."
John,7,37,"In the last day, that great day of the feast, Jesus stood and cried, saying, If any man thirst, let him come unto me, and drink."
John,7,38,"He that believeth on me, as the scripture hath said, out of his belly shall flow rivers of living water."
John,8,7,"So when they continued asking him, he lifted up himself, and said unto them, He that is without sin among you, let him first cast a stone at her."
John,8,10,"When Jesus had lifted up himself, and saw none but the woman, he said unto her, Woman, where are those thine accusers? hath no man condemned thee?"
John,8,11,"She said, No man, Lord. And Jesus said unto her, Neither do I condemn thee: go, and sin no more."
John,8,12,"Then spake Jesus again unto them, saying, I am the light of the world: he that followeth me shall not walk in darkness, but shall have the light of life."
John,8,14,"Jesus answered and said unto them, Though I bear record of myself, yet my record is true: for I know whence I came, and whither I go; but ye cannot tell whence I come, and whither I go."
John,8,15,Ye judge after the flesh; I judge no man.
John,8,16,"And yet if I judge, my judgment is true: for I am not alone, but I and the Father that sent me."
John,8,17,"It is also written in your law, that the testimony of two men is true."
John,8,18,"I am one that bear witness of myself, and the Father that sent me beareth witness of me."
John,8,19,"Then said they unto him, Where is thy Father? Jesus answered, Ye neither know me, nor my Father: if ye had known me, ye should have known my Father also."
John,8,21,"Then said Jesus again unto them, I go my way, and ye shall seek me, and shall die in your sins: whither I go, ye cannot come."
John,8,23,"And he said unto them, Ye are from beneath; I am from above: ye are of this world; I am not of this world."
John,8,24,"I said therefore unto you, that ye shall die in your sins: for if ye believe not that I am he, ye shall die in your sins."
John,8,25,"Then said they unto him, Who art thou? And Jesus saith unto them, Even the same that I said unto you from the beginning."
John,8,26,I have many things to say and to judge of you: but he that sent me is true; and I speak to the world those things which I have heard of him.
John,8,28,"Then said Jesus unto them, When ye have lifted up the Son of man, then shall ye know that I am he, and that I do nothing of myself; but as my Father hath taught me, I speak these things."
John,8,29,And he that sent me is with me: the Father hath not left me alone; for I do always those things that please him.
John,8,31,"Then said Jesus to those Jews which believed on him, If ye continue in my word, then are ye my disciples indeed;"
John,8,32,"And ye shall know the truth, and the truth shall make you free."
John,8,34,"Jesus answered them, Verily, verily, I say unto you, Whosoever committeth sin is the servant of sin."
John,8,35,And the servant abideth not in the house for ever: but the Son abideth ever.
John,8,36,"If the Son therefore shall make you free, ye shall be free indeed."
John,8,37,"I know that ye are Abraham's seed; but ye seek to kill me, because my word hath no place in you."
John,8,38,I speak that which I have seen with my Father: and ye do that which ye have seen with your father.
John,8,39,"They answered and said unto him, Abraham is our father. Jesus saith unto them, If ye were Abraham's children, ye would do the works of Abraham."
John,8,40,"But now ye seek to kill me, a man that hath told you the truth, which I have heard of God: this did not Abraham."
John,8,41,"Ye do the deeds of your father. Then said they to him, We be not born of fornication; we have one Father, even God."
John,8,42,"Jesus said unto them, If God were your Father, ye would love me: for I proceeded forth and came from God; neither came I of myself, but he sent me."
John,8,43,Why do ye not understand my speech? even because ye cannot hear my word.
John,8,44,"Ye are of your father the devil, and the lusts of your father ye will do. He was a murderer from the beginning, and abode not in the truth, because there is no truth in him. When he speaketh a lie, he speaketh of his own: for he is a liar, and the father of it."
John,8,45,"And because I tell you the truth, ye believe me not."
John,8,46,"Which of you convinceth me of sin? And if I say the truth, why do ye not believe me?"
John,8,47,"He that is of God heareth God's words: ye therefore hear them not, because ye are not of God."
John,8,49,"Jesus answered, I have not a devil; but I honour my Father, and ye do dishonour me."
John,8,50,And I seek not mine own glory: there is one that seeketh and judgeth.
John,8,51,"Verily, verily, I say unto you, If a man keep my saying, he shall never see death."
John,8,54,"Jesus answered, If I honour myself, my honour is nothing: it is my Father that honoureth me; of whom ye say, that he is your God:"
John,8,55,"Yet ye have not known him; but I know him: and if I should say, I know him not, I shall be a liar like unto you: but I know him, and keep his saying."
John,8,56,"Your father Abraham rejoiced to see my day: and he saw it, and was glad."
John,8,58,"Jesus said unto them, Verily, verily, I say unto you, Before Abraham was, I am."
John,9,3,"Jesus answered, Neither hath this man sinned, nor his parents: but that the works of God should be made manifest in him."
John,9,4,"I must work the works of him that sent me, while it is day: the night cometh, when no man can work."
John,9,5,"As long as I am in the world, I am the light of the world."
John,9,7,"And said unto him, Go, wash in the pool of Siloam, (which is by interpretation, Sent.) He went his way therefore, and washed, and came seeing."
John,9,35,"Jesus heard that they had cast him out; and when he had found him, he said unto him, Dost thou believe on the Son of God?"
John,9,37,"And Jesus said unto him, Thou hast both seen him, and it is he that talketh with thee."
John,9,39,"And Jesus said, For judgment I am come into this world, that they which see not might see; and that they which see might be made blind."
John,9,41,"Jesus said unto them, If ye were blind, ye should have no sin: but now ye say, We see; therefore your sin remaineth."
John,10,1,"Verily, verily, I say unto you, He that entereth not by the door into the sheepfold, but climbeth up some other way, the same is a thief and a robber."
John,10,2,But he that entereth in by the door is the shepherd of the sheep.
John,10,3,"To him the porter openeth; and the sheep hear his voice: and he calleth his own sheep by name, and leadeth them out."
John,10,4,"And when he putteth forth his own sheep, he goeth before them, and the sheep follow him: for they know his voice."
John,10,5,"And a stranger will they not follow, but will flee from him: for they know not the voice of strangers."
John,10,7,"Then said Jesus unto them again, Verily, verily, I say unto you, I am the door of the sheep."
John,10,8,All that ever came before me are thieves and robbers: but the sheep did not hear them.
John,10,9,"I am the door: by me if any man enter in, he shall be saved, and shall go in and out, and find pasture."
John,10,10,"The thief cometh not, but for to steal, and to kill, and to destroy: I am come that they might have life, and that they might have it more abundantly."
John,10,11,I am the good shepherd: the good shepherd giveth his life for the sheep.
John,10,12,"But he that is an hireling, and not the shepherd, whose own the sheep are not, seeth the wolf coming, and leaveth the sheep, and fleeth: and the wolf catcheth them, and scattereth the sheep."
John,10,13,"The hireling fleeth, because he is an hireling, and careth not for the sheep."
John,10,14,"I am the good shepherd, and know my sheep, and am known of mine."
John,10,15,"As the Father knoweth me, even so know I the Father: and I lay down my life for the sheep."
John,10,16,"And other sheep I have, which are not of this fold: them also I must bring, and they shall hear my voice; and there shall be one fold, and one shepherd."
John,10,17,"Therefore doth my Father love me, because I lay down my life, that I might take it again."
John,10,18,"No man taketh it from me, but I lay it down of myself. I have power to lay it down, and I have power to take it again. This commandment have I received of my Father."
John,10,25,"Jesus answered them, I told you, and ye believed not: the works that I do in my Father's name, they bear witness of me."
John,10,26,"But ye believe not, because ye are not of my sheep, as I said unto you."
John,10,27,"My sheep hear my voice, and I know them, and they follow me:"
John,10,28,"And I give unto them eternal life; and they shall never perish, neither shall any man pluck them out of my hand."
John,10,29,"My Father, which gave them me, is greater than all; and no man is able to pluck them out of my Father's hand."
John,10,30,I and my Father are one.
John,10,32,"Jesus answered them, Many good works have I shewed you from my Father; for which of those works do ye stone me?"
John,10,34,"Jesus answered them, Is it not written in your law, I said, Ye are gods?"
John,10,35,"If he called them gods, unto whom the word of God came, and the scripture cannot be broken;"
John,10,36,"Say ye of him, whom the Father hath sanctified, and sent into the world, Thou blasphemest; because I said, I am the Son of God?"
John,10,37,"If I do not the works of my Father, believe me not."
John,10,38,"But if I do, though ye believe not me, believe the works: that ye may know, and believe, that the Father is in me, and I in him."
John,11,4,"When Jesus heard that, he said, This sickness is not unto death, but for the glory of God, that the Son of God might be glorified thereby."
John,11,9,"Jesus answered, Are there not twelve hours in the day? If any man walk in the day, he stumbleth not, because he seeth the light of this world."
John,11,10,"But if a man walk in the night, he stumbleth, because there is no light in him."
John,11,11,"These things said he: and after that he saith unto them, Our friend Lazarus sleepeth; but I go, that I may awake him out of sleep."
John,11,14,"Then said Jesus unto them plainly, Lazarus is dead."
John,11,15,"And I am glad for your sakes that I was not there, to the intent ye may believe; nevertheless let us go unto him."
John,11,23,"Jesus saith unto her, Thy brother shall rise again."
John,11,25,"Jesus said unto her, I am the resurrection, and the life: he that believeth in me, though he were dead, yet shall he live:"
John,11,26,And whosoever liveth and believeth in me shall never die. Believest thou this?
John,11,34,"And said, Where have ye laid him? They said unto him, Lord, come and see."
John,11,39,"Jesus said, Take ye away the stone. Martha, the sister of him that was dead, saith unto him, Lord, by this time he stinketh: for he hath been dead four days."
John,11,40,"Jesus saith unto her, Said I not unto thee, that, if thou wouldest believe, thou shouldest see the glory of God?"
John,11,41,"Then they took away the stone from the place where the dead was laid. And Jesus lifted up his eyes, and said, Father, I thank thee that thou hast heard me."
John,11,42,"And I knew that thou hearest me always: but because of the people which stand by I said it, that they may believe that thou hast sent me."
John,11,43,"And when he thus had spoken, he cried with a loud voice, Lazarus, come forth."
John,11,44,"And he that was dead came forth, bound hand and foot with graveclothes: and his face was bound about with a napkin. Jesus saith unto them, Loose him, and let him go."
John,12,7,"Then said Jesus, Let her alone: against the day of my burying hath she kept this."
John,12,8,For the poor always ye have with you; but me ye have not always.
John,12,23,"And Jesus answered them, saying, The hour is come, that the Son of man should be glorified."
John,12,24,"Verily, verily, I say unto you, Except a corn of wheat fall into the ground and die, it abideth alone: but if it die, it bringeth forth much fruit."
John,12,25,He that loveth his life shall lose it; and he that hateth his life in this world shall keep it unto life eternal.
John,12,26,"If any man serve me, let him follow me; and where I am, there shall also my servant be: if any man serve me, him will my Father honour."
John,12,27,"Now is my soul troubled; and what shall I say? Father, save me from this hour: but for this cause came I unto this hour."
John,12,28,"Father, glorify thy name. Then came there a voice from heaven, saying, I have both glorified it, and will glorify it again."
John,12,30,"Jesus answered and said, This voice came not because of me, but for your sakes."
John,12,31,Now is the judgment of this world: now shall the prince of this world be cast out.
John,12,32,"And I, if I be lifted up from the earth, will draw all men unto me."
John,12,35,"Then Jesus said unto them, Yet a little while is the light with you. Walk while ye have the light, lest darkness come upon you: for he that walketh in darkness knoweth not whither he goeth."
John,12,36,"While ye have light, believe in the light, that ye may be the children of light. These things spake Jesus, and departed, and did hide himself from them."
John,12,44,"Jesus cried and said, He that believeth on me, believeth not on me, but on him that sent me."
John,12,45,And he that seeth me seeth him that sent me.
John,12,46,"I am come a light into the world, that whosoever believeth on me should not abide in darkness."
John,12,47,"And if any man hear my words, and believe not, I judge him not: for I came not to judge the world, but to save the world."
John,12,48,"He that rejecteth me, and receiveth not my words, hath one that judgeth him: the word that I have spoken, the same shall judge him in the last day."
John,12,49,"For I have not spoken of myself; but the Father which sent me, he gave me a commandment, what I should say, and what I should speak."
John,12,50,"And I know that his commandment is life everlasting: whatsoever I speak therefore, even as the Father said unto me, so I speak."
John,13,7,"Jesus answered and said unto him, What I do thou knowest not now; but thou shalt know hereafter."
John,13,8,"Peter saith unto him, Thou shalt never wash my feet. Jesus answered him, If I wash thee not, thou hast no part with me."
John,13,10,"Jesus saith to him, He that is washed needeth not save to wash his feet, but is clean every whit: and ye are clean, but not all."
John,13,11,"For he knew who should betray him; therefore said he, Ye are not all clean."
John,13,12,"So after he had washed their feet, and had taken his garments, and was set down again, he said unto them, Know ye what I have done to you?"
John,13,13,Ye call me Master and Lord: and ye say well; for so I am.
John,13,14,"If I then, your Lord and Master, have washed your feet; ye also ought to wash one another's feet."
John,13,15,"For I have given you an example, that ye should do as I have done to you."
John,13,16,"Verily, verily, I say unto you, The servant is not greater than his lord; neither he that is sent greater than he that sent him."
John,13,17,"If ye know these things, happy are ye if ye do them."
John,13,18,"I speak not of you all: I know whom I have chosen: but that the scripture may be fulfilled, He that eateth bread with me hath lifted up his heel against me."
John,13,19,"Now I tell you before it come, that, when it is come to pass, ye may believe that I am he."
John,13,20,"Verily, verily, I say unto you, He that receiveth whomsoever I send receiveth me; and he that receiveth me receiveth him that sent me."
John,13,21,"When Jesus had thus said, he was troubled in spirit, and testified, and said, Verily, verily, I say unto you, that one of you shall betray me."
John,13,26,"Jesus answered, He it is, to whom I shall give a sop, when I have dipped it. And when he had dipped the sop, he gave it to Judas Iscariot, the son of Simon."
John,13,27,"And after the sop Satan entered into him. Then said Jesus unto him, That thou doest, do quickly."
John,13,31,"Therefore, when he was gone out, Jesus said, Now is the Son of man glorified, and God is glorified in him."
John,13,32,"If God be glorified in him, God shall also glorify him in himself, and shall straightway glorify him."
John,13,33,"Little children, yet a little while I am with you. Ye shall seek me: and as I said unto the Jews, Whither I go, ye cannot come; so now I say to you."
John,13,34,"A new commandment I give unto you, That ye love one another; as I have loved you, that ye also love one another."
John,13,35,"By this shall all men know that ye are my disciples, if ye have love one to another."
John,13,36,"Simon Peter said unto him, Lord, whither goest thou? Jesus answered him, Whither I go, thou canst not follow me now; but thou shalt follow me afterwards."
John,13,38,"Jesus answered him, Wilt thou lay down thy life for my sake? Verily, verily, I say unto thee, The cock shall not crow, till thou hast denied me thrice."
John,14,1,"Let not your heart be troubled: ye believe in God, believe also in me."
John,14,2,"In my Father's house are many mansions: if it were not so, I would have told you. I go to prepare a place for you."
John,14,3,"And if I go and prepare a place for you, I will come again, and receive you unto myself; that where I am, there ye may be also."
John,14,4,"And whither I go ye know, and the way ye know."
John,14,6,"Jesus saith unto him, I am the way, the truth, and the life: no man cometh unto the Father, but by me."
John,14,7,"If ye had known me, ye should have known my Father also: and from henceforth ye know him, and have seen him."
John,14,9,"Jesus saith unto him, Have I been so long time with you, and yet hast thou not known me, Philip? he that hath seen me hath seen the Father; and how sayest thou then, Shew us the Father?"
John,14,10,"Believest thou not that I am in the Father, and the Father in me? the words that I speak unto you I speak not of myself: but the Father that dwelleth in me, he doeth the works."
John,14,11,"Believe me that I am in the Father, and the Father in me: or else believe me for the very works' sake."
John,14,12,"Verily, verily, I say unto you, He that believeth on me, the works that I do shall he do also; and greater works than these shall he do; because I go unto my Father."
John,14,13,"And whatsoever ye shall ask in my name, that will I do, that the Father may be glorified in the Son."
John,14,14,"If ye shall ask any thing in my name, I will do it."
John,14,15,"If ye love me, keep my commandments."
John,14,16,"And I will pray the Father, and he shall give you another Comforter, that he may abide with you for ever;"
John,14,17,"Even the Spirit of truth; whom the world cannot receive, because it seeth him not, neither knoweth him: but ye know him; for he dwelleth with you, and shall be in you."
John,14,18,I will not leave you comfortless: I will come to you.
John,14,19,"Yet a little while, and the world seeth me no more; but ye see me: because I live, ye shall live also."
John,14,20,"At that day ye shall know that I am in my Father, and ye in me, and I in you."
John,14,21,"He that hath my commandments, and keepeth them, he it is that loveth me: and he that loveth me shall be loved of my Father, and I will love him, and will manifest myself to him."
John,14,23,"Jesus answered and said unto him, If a man love me, he will keep my words: and my Father will love him, and we will come unto him, and make our abode with him."
John,14,24,"He that loveth me not keepeth not my sayings: and the word which ye hear is not mine, but the Father's which sent me."
John,14,25,"These things have I spoken unto you, being yet present with you."
John,14,26,"But the Comforter, which is the Holy Ghost, whom the Father will send in my name, he shall teach you all things, and bring all things to your remembrance, whatsoever I have said unto you."
John,14,27,"Peace I leave with you, my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be afraid."
John,14,28,"Ye have heard how I said unto you, I go away, and come again unto you. If ye loved me, ye would rejoice, because I said, I go unto the Father: for my Father is greater than I."
John,14,29,"And now I have told you before it come to pass, that, when it is come to pass, ye might believe."
John,14,30,"Hereafter I will not talk much with you: for the prince of this world cometh, and hath nothing in me."
John,14,31,"But that the world may know that I love the Father; and as the Father gave me commandment, even so I do. Arise, let us go hence."
John,15,1,"I am the true vine, and my Father is the husbandman."
John,15,2,"Every branch in me that beareth not fruit he taketh away: and every branch that beareth fruit, he purgeth it, that it may bring forth more fruit."
John,15,3,Now ye are clean through the word which I have spoken unto you.
John,15,4,"Abide in me, and I in you. As the branch cannot bear fruit of itself, except it abide in the vine; no more can ye, except ye abide in me."
John,15,5,"I am the vine, ye are the branches: He that abideth in me, and I in him, the same bringeth forth much fruit: for without me ye can do nothing."
John,15,6,"If a man abide not in me, he is cast forth as a branch, and is withered; and men gather them, and cast them into the fire, and they are burned."
